,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
13,2020-11-20,21:00,Ligue 1,Journée 11,Ven,Extérieur,D,2,3,Monaco,1.7,3.2,48.0,,Presnel Kimpembe,4-4-2,Clément Turpin,Rapport de match,,21.4,2.0,1.0,1.0,2.0,8.0,3.0,37.5,0.13,0.33,2021,ParisSaintGermain
15,2020-11-28,21:00,Ligue 1,Journée 12,Sam,Domicile,N,2,2,Bordeaux,2.6,1.6,65.0,,Presnel Kimpembe,4-4-2,Jérémie Pignard,Rapport de match,,14.7,0.0,1.0,1.0,2.0,15.0,8.0,53.3,0.07,0.13,2021,ParisSaintGermain
17,2020-12-05,21:00,Ligue 1,Journée 13,Sam,Extérieur,V,3,1,Montpellier,1.9,1.6,64.0,,Keylor Navas,3-5-2,Mikael Lesage,Rapport de match,,15.2,0.0,0.0,0.0,3.0,13.0,6.0,46.2,0.23,0.5,2021,ParisSaintGermain
19,2020-12-13,21:00,Ligue 1,Journée 14,Dim,Domicile,D,0,1,Lyon,0.3,0.9,62.0,,Presnel Kimpembe,3-5-2,Benoît Bastien,Rapport de match,,15.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,0.0,0.0,2021,ParisSaintGermain
20,2020-12-16,21:00,Ligue 1,Journée 15,Mer,Domicile,V,2,0,Lorient,2.5,1.4,74.0,,Ander Herrera,3-5-2,Johan Hamel,Rapport de match,,18.6,1.0,1.0,1.0,2.0,23.0,7.0,30.4,0.04,0.14,2021,ParisSaintGermain
21,2020-12-20,21:00,Ligue 1,Journée 16,Dim,Extérieur,N,0,0,Lille,0.8,0.6,69.0,,Marquinhos,3-4-3,François Letexier,Rapport de match,,11.7,1.0,0.0,0.0,0.0,8.0,1.0,12.5,0.0,0.0,2021,ParisSaintGermain
22,2020-12-23,21:00,Ligue 1,Journée 17,Mer,Domicile,V,4,0,Strasbourg,2.8,0.9,69.0,,Marquinhos,3-5-2,Jérôme Miguelgorry,Rapport de match,,16.5,0.0,0.0,0.0,4.0,17.0,8.0,47.1,0.24,0.5,2021,ParisSaintGermain
23,2021-01-06,21:00,Ligue 1,Journée 18,Mer,Extérieur,N,1,1,Saint-Étienne,1.6,1.2,69.0,,Marquinhos,4-3-3,Karim Abed,Rapport de match,,12.9,0.0,0.0,0.0,1.0,11.0,4.0,36.4,0.09,0.25,2021,ParisSaintGermain
24,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Domicile,V,3,0,Brest,2.9,0.8,62.0,,Marquinhos,4-3-3,Hakim Ben El Hadj Salem,Rapport de match,,14.0,0.0,0.0,0.0,3.0,22.0,11.0,50.0,0.14,0.27,2021,ParisSaintGermain
26,2021-01-16,21:00,Ligue 1,Journée 20,Sam,Extérieur,V,1,0,Angers,1.5,0.9,61.0,,Marquinhos,4-2-3-1,Amaury Delerue,Rapport de match,,16.0,1.0,0.0,0.0,1.0,11.0,3.0,27.3,0.09,0.33,2021,ParisSaintGermain
27,2021-01-22,21:00,Ligue 1,Journée 21,Ven,Domicile,V,4,0,Montpellier,5.4,0.6,72.0,,Marquinhos,4-2-3-1,Willy Delajod,Rapport de match,,13.6,3.0,0.0,0.0,4.0,26.0,8.0,30.8,0.15,0.5,2021,ParisSaintGermain
28,2021-01-31,15:00,Ligue 1,Journée 22,Dim,Extérieur,D,2,3,Lorient,2.6,1.4,64.0,,Presnel Kimpembe,4-4-2,Jeremy Stinat,Rapport de match,,20.8,0.0,2.0,2.0,2.0,12.0,1.0,8.3,0.0,0.0,2021,ParisSaintGermain
29,2021-02-03,21:00,Ligue 1,Journée 23,Mer,Domicile,V,3,0,Nîmes,2.0,1.7,66.0,,Presnel Kimpembe,4-4-2,François Letexier,Rapport de match,,15.7,0.0,0.0,0.0,3.0,14.0,6.0,42.9,0.21,0.5,2021,ParisSaintGermain
30,2021-02-07,21:00,Ligue 1,Journée 24,Dim,Extérieur,V,2,0,Marseille,1.1,0.5,47.0,,Marquinhos,4-3-3,Benoît Bastien,Rapport de match,,13.9,0.0,0.0,0.0,2.0,9.0,2.0,22.2,0.22,1.0,2021,ParisSaintGermain
32,2021-02-13,17:00,Ligue 1,Journée 25,Sam,Domicile,V,2,1,Nice,2.3,1.0,54.0,,Marquinhos,4-2-3-1,Jérémie Pignard,Rapport de match,,15.9,0.0,0.0,0.0,2.0,17.0,4.0,23.5,0.12,0.5,2021,ParisSaintGermain
34,2021-02-21,21:00,Ligue 1,Journée 26,Dim,Domicile,D,0,2,Monaco,0.6,0.7,74.0,,Marquinhos,4-3-3,Ruddy Buquet,Rapport de match,,19.7,1.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,0.0,2021,ParisSaintGermain
35,2021-02-27,17:00,Ligue 1,Journée 27,Sam,Extérieur,V,4,0,Dijon,1.9,0.3,60.0,,Marquinhos,4-2-3-1,Mikael Lesage,Rapport de match,,15.6,0.0,1.0,1.0,4.0,6.0,4.0,66.7,0.5,0.75,2021,ParisSaintGermain
36,2021-03-03,21:00,Ligue 1,Journée 28,Mer,Extérieur,V,1,0,Bordeaux,0.9,0.6,57.0,,Marquinhos,4-2-3-1,Franck Schneider,Rapport de match,,14.2,0.0,0.0,0.0,1.0,12.0,3.0,25.0,0.08,0.33,2021,ParisSaintGermain
39,2021-03-14,21:00,Ligue 1,Journée 29,Dim,Domicile,D,1,2,Nantes,0.8,1.3,74.0,,Marquinhos,4-2-3-1,Karim Abed,Rapport de match,,18.6,0.0,0.0,0.0,1.0,11.0,5.0,45.5,0.09,0.2,2021,ParisSaintGermain
41,2021-03-21,21:00,Ligue 1,Journée 30,Dim,Extérieur,V,4,2,Lyon,2.1,0.7,56.0,,Marquinhos,4-2-3-1,Clément Turpin,Rapport de match,,18.2,2.0,0.0,0.0,4.0,14.0,9.0,64.3,0.29,0.44,2021,ParisSaintGermain
42,2021-04-03,17:00,Ligue 1,Journée 31,Sam,Domicile,D,0,1,Lille,0.9,0.4,64.0,,Marquinhos,4-2-3-1,Benoît Bastien,Rapport de match,,19.4,2.0,0.0,0.0,0.0,16.0,3.0,18.8,0.0,0.0,2021,ParisSaintGermain
44,2021-04-10,17:00,Ligue 1,Journée 32,Sam,Extérieur,V,4,1,Strasbourg,1.7,0.7,62.0,,Presnel Kimpembe,4-2-3-1,Jérémie Pignard,Rapport de match,,17.9,1.0,0.0,0.0,4.0,16.0,7.0,43.8,0.25,0.57,2021,ParisSaintGermain
46,2021-04-18,13:00,Ligue 1,Journée 33,Dim,Domicile,V,3,2,Saint-Étienne,2.3,1.0,70.0,,Presnel Kimpembe,4-2-3-1,Ruddy Buquet,Rapport de match,,19.6,2.0,1.0,1.0,3.0,16.0,4.0,25.0,0.13,0.5,2021,ParisSaintGermain
48,2021-04-24,17:00,Ligue 1,Journée 34,Sam,Extérieur,V,3,1,Metz,2.7,0.5,66.0,,Presnel Kimpembe,4-3-3,Willy Delajod,Rapport de match,,18.2,2.0,1.0,1.0,3.0,18.0,6.0,33.3,0.11,0.33,2021,ParisSaintGermain
50,2021-05-01,17:00,Ligue 1,Journée 35,Sam,Domicile,V,2,1,Lens,1.6,1.2,59.0,,Marquinhos,4-2-3-1,Jérôme Brisard,Rapport de match,,15.6,2.0,0.0,0.0,2.0,14.0,6.0,42.9,0.14,0.33,2021,ParisSaintGermain
52,2021-05-09,21:00,Ligue 1,Journée 36,Dim,Extérieur,N,1,1,Rennes,1.9,1.0,57.0,,Marquinhos,4-2-3-1,Ruddy Buquet,Rapport de match,,15.4,0.0,1.0,1.0,1.0,11.0,3.0,27.3,0.0,0.0,2021,ParisSaintGermain
54,2021-05-16,21:00,Ligue 1,Journée 37,Dim,Domicile,V,4,0,Reims,4.6,0.1,57.0,,Marquinhos,4-2-3-1,Clément Turpin,Rapport de match,,16.8,0.0,1.0,1.0,4.0,27.0,8.0,29.6,0.11,0.38,2021,ParisSaintGermain
56,2021-05-23,21:00,Ligue 1,Journée 38,Dim,Extérieur,V,2,0,Brest,2.6,0.9,63.0,,Marquinhos,4-3-3,Mikael Lesage,Rapport de match,,14.8,1.0,0.0,1.0,1.0,8.0,4.0,50.0,0.13,0.25,2021,ParisSaintGermain
0,2020-08-23,13:00,Ligue 1,Journée 1,Dim,Domicile,N,2,2,Reims,2.0,1.3,75.0,,Wissam Ben Yedder,4-3-3,François Letexier,Rapport de match,,16.0,0.0,0.0,0.0,2.0,22.0,5.0,22.7,0.09,0.4,2021,Monaco
1,2020-08-30,15:00,Ligue 1,Journée 2,Dim,Extérieur,V,1,0,Metz,0.3,0.7,46.0,4463.0,Wissam Ben Yedder,4-3-3,Jeremy Stinat,Rapport de match,,17.7,0.0,0.0,0.0,1.0,3.0,2.0,66.7,0.33,0.5,2021,Monaco
2,2020-09-13,17:00,Ligue 1,Journée 3,Dim,Domicile,V,2,1,Nantes,2.0,0.6,57.0,,Wissam Ben Yedder,4-3-3,Clément Turpin,Rapport de match,,14.3,0.0,0.0,0.0,2.0,18.0,5.0,27.8,0.11,0.4,2021,Monaco
3,2020-09-19,21:00,Ligue 1,Journée 4,Sam,Extérieur,D,1,2,Rennes,1.3,1.3,42.0,,Wissam Ben Yedder,4-3-3,Jérôme Miguelgorry,Rapport de match,,15.9,1.0,0.0,0.0,1.0,14.0,2.0,14.3,0.07,0.5,2021,Monaco
4,2020-09-27,15:00,Ligue 1,Journée 5,Dim,Domicile,V,3,2,Strasbourg,1.5,1.4,57.0,,Wissam Ben Yedder,4-3-3,Jérémie Pignard,Rapport de match,,17.9,1.0,0.0,0.0,3.0,11.0,5.0,45.5,0.27,0.6,2021,Monaco
5,2020-10-04,15:00,Ligue 1,Journée 6,Dim,Extérieur,D,0,1,Brest,1.1,1.0,70.0,,Wissam Ben Yedder,4-3-3,Johan Hamel,Rapport de match,,18.2,2.0,0.0,0.0,0.0,20.0,2.0,10.0,0.0,0.0,2021,Monaco
6,2020-10-18,15:00,Ligue 1,Journée 7,Dim,Domicile,N,1,1,Montpellier,2.1,0.2,79.0,,Wissam Ben Yedder,4-3-3,Hakim Ben El Hadj Salem,Rapport de match,,19.0,1.0,1.0,1.0,1.0,20.0,7.0,35.0,0.0,0.0,2021,Monaco
7,2020-10-25,21:00,Ligue 1,Journée 8,Dim,Extérieur,D,1,4,Lyon,1.9,3.2,65.0,,Wissam Ben Yedder,4-3-3,Jérôme Brisard,Rapport de match,,17.9,3.0,1.0,1.0,1.0,17.0,4.0,23.5,0.0,0.0,2021,Monaco
8,2020-11-01,17:00,Ligue 1,Journée 9,Dim,Domicile,V,4,0,Bordeaux,3.0,0.3,52.0,,Wissam Ben Yedder,4-3-3,Ruddy Buquet,Rapport de match,,14.4,0.0,1.0,1.0,4.0,16.0,5.0,31.3,0.19,0.6,2021,Monaco
9,2020-11-08,17:00,Ligue 1,Journée 10,Dim,Extérieur,V,2,1,Nice,1.5,0.7,37.0,,Wissam Ben Yedder,4-4-2,Karim Abed,Rapport de match,,15.9,0.0,0.0,0.0,2.0,15.0,8.0,53.3,0.13,0.25,2021,Monaco
10,2020-11-20,21:00,Ligue 1,Journée 11,Ven,Domicile,V,3,2,Paris S-G,3.2,1.7,52.0,,Axel Disasi,4-4-1-1,Clément Turpin,Rapport de match,,17.6,1.0,1.0,1.0,3.0,15.0,4.0,26.7,0.13,0.5,2021,Monaco
11,2020-11-29,15:00,Ligue 1,Journée 12,Dim,Domicile,V,3,0,Nîmes,3.1,0.2,67.0,,Axel Disasi,4-4-1-1,Antony Gautier,Rapport de match,,12.7,1.0,0.0,0.0,3.0,18.0,5.0,27.8,0.17,0.6,2021,Monaco
12,2020-12-06,13:00,Ligue 1,Journée 13,Dim,Extérieur,D,1,2,Lille,0.6,1.1,58.0,,Wissam Ben Yedder,4-4-2,Jérôme Brisard,Rapport de match,,15.7,0.0,0.0,0.0,1.0,8.0,3.0,37.5,0.13,0.33,2021,Monaco
13,2020-12-12,17:00,Ligue 1,Journée 14,Sam,Extérieur,D,1,2,Marseille,1.7,0.9,60.0,,Wissam Ben Yedder,4-4-2,Benoît Millot,Rapport de match,,14.8,0.0,1.0,1.0,1.0,8.0,3.0,37.5,0.0,0.0,2021,Monaco
14,2020-12-16,21:00,Ligue 1,Journée 15,Mer,Domicile,D,0,3,Lens,0.9,1.2,33.0,,Wissam Ben Yedder,4-4-2,Willy Delajod,Rapport de match,,13.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,0.0,0.0,2021,Monaco
15,2020-12-20,15:00,Ligue 1,Journée 16,Dim,Extérieur,V,1,0,Dijon,1.3,1.1,47.0,,Wissam Ben Yedder,4-4-2,Jeremy Stinat,Rapport de match,,15.1,0.0,0.0,0.0,1.0,13.0,6.0,46.2,0.08,0.17,2021,Monaco
16,2020-12-23,21:00,Ligue 1,Journée 17,Mer,Domicile,N,2,2,Saint-Étienne,0.8,1.9,40.0,,Wissam Ben Yedder,4-4-2,Johan Hamel,Rapport de match,,11.2,0.0,0.0,0.0,2.0,2.0,2.0,100.0,1.0,1.0,2021,Monaco
17,2021-01-06,19:00,Ligue 1,Journée 18,Mer,Extérieur,V,5,2,Lorient,2.2,0.7,58.0,,Wissam Ben Yedder,4-4-2,Franck Schneider,Rapport de match,,15.6,1.0,0.0,0.0,5.0,15.0,9.0,60.0,0.33,0.56,2021,Monaco
18,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Domicile,V,3,0,Angers,2.5,0.5,56.0,,Wissam Ben Yedder,4-4-2,Benoît Bastien,Rapport de match,,14.2,0.0,0.0,0.0,3.0,14.0,5.0,35.7,0.21,0.6,2021,Monaco
19,2021-01-15,21:00,Ligue 1,Journée 20,Ven,Extérieur,V,3,2,Montpellier,2.7,0.6,48.0,,Wissam Ben Yedder,4-2-3-1,Aurélien Petit,Rapport de match,,15.0,0.0,1.0,1.0,3.0,15.0,3.0,20.0,0.13,0.67,2021,Monaco
20,2021-01-23,21:00,Ligue 1,Journée 21,Sam,Domicile,V,3,1,Marseille,1.3,0.5,54.0,,Wissam Ben Yedder,4-4-2,François Letexier,Rapport de match,,16.3,1.0,0.0,0.0,3.0,8.0,6.0,75.0,0.38,0.5,2021,Monaco
21,2021-01-31,21:00,Ligue 1,Journée 22,Dim,Extérieur,V,2,1,Nantes,1.5,0.8,68.0,,Wissam Ben Yedder,3-4-3,Thomas Léonard,Rapport de match,,16.6,0.0,0.0,0.0,2.0,14.0,5.0,35.7,0.14,0.4,2021,Monaco
22,2021-02-03,21:00,Ligue 1,Journée 23,Mer,Domicile,V,2,1,Nice,2.2,0.3,42.0,,Wissam Ben Yedder,4-4-2,Jérôme Brisard,Rapport de match,,15.7,1.0,1.0,1.0,2.0,14.0,5.0,35.7,0.07,0.2,2021,Monaco
23,2021-02-07,15:00,Ligue 1,Journée 24,Dim,Extérieur,V,4,3,Nîmes,1.5,1.3,56.0,,Wissam Ben Yedder,4-4-2,Clément Turpin,Rapport de match,,16.8,1.0,0.0,0.0,4.0,11.0,5.0,45.5,0.36,0.8,2021,Monaco
25,2021-02-14,13:00,Ligue 1,Journée 25,Dim,Domicile,N,2,2,Lorient,1.8,1.3,70.0,,Wissam Ben Yedder,4-4-2,Benoît Millot,Rapport de match,,14.7,1.0,1.0,1.0,2.0,11.0,3.0,27.3,0.09,0.33,2021,Monaco
26,2021-02-21,21:00,Ligue 1,Journée 26,Dim,Extérieur,V,2,0,Paris S-G,0.7,0.6,26.0,,Wissam Ben Yedder,3-4-3,Ruddy Buquet,Rapport de match,,13.4,0.0,0.0,0.0,2.0,6.0,3.0,50.0,0.33,0.67,2021,Monaco
27,2021-02-28,13:00,Ligue 1,Journée 27,Dim,Domicile,V,2,0,Brest,2.3,0.4,63.0,,Wissam Ben Yedder,3-4-3,Jérémie Pignard,Rapport de match,,16.2,0.0,0.0,1.0,2.0,14.0,8.0,57.1,0.14,0.25,2021,Monaco
28,2021-03-03,21:00,Ligue 1,Journée 28,Mer,Extérieur,D,0,1,Strasbourg,0.7,1.0,61.0,,Wissam Ben Yedder,3-4-3,Eric Wattellier,Rapport de match,,12.5,0.0,0.0,0.0,0.0,5.0,1.0,20.0,0.0,0.0,2021,Monaco
30,2021-03-14,17:05,Ligue 1,Journée 29,Dim,Domicile,N,0,0,Lille,0.6,0.2,62.0,,Wissam Ben Yedder,3-4-3,Stéphanie Frappart,Rapport de match,,14.7,0.0,0.0,0.0,0.0,8.0,4.0,50.0,0.0,0.0,2021,Monaco
31,2021-03-19,21:00,Ligue 1,Journée 30,Ven,Extérieur,V,4,0,Saint-Étienne,2.4,0.5,60.0,,Axel Disasi,4-4-2,Mikael Lesage,Rapport de match,,18.5,0.0,0.0,1.0,4.0,14.0,4.0,28.6,0.29,1.0,2021,Monaco
32,2021-04-03,13:00,Ligue 1,Journée 31,Sam,Domicile,V,4,0,Metz,2.8,0.4,61.0,,Axel Disasi,4-2-3-1,Johan Hamel,Rapport de match,,18.8,0.0,2.0,2.0,4.0,13.0,4.0,30.8,0.15,0.5,2021,Monaco
34,2021-04-11,17:05,Ligue 1,Journée 32,Dim,Domicile,V,3,0,Dijon,3.4,0.9,64.0,,Axel Disasi,4-2-3-1,Aurélien Petit,Rapport de match,,17.2,0.0,1.0,2.0,3.0,14.0,8.0,57.1,0.14,0.25,2021,Monaco
35,2021-04-18,17:05,Ligue 1,Journée 33,Dim,Extérieur,V,3,0,Bordeaux,2.2,1.1,59.0,,Wissam Ben Yedder,4-2-3-1,François Letexier,Rapport de match,,18.8,1.0,0.0,0.0,3.0,13.0,6.0,46.2,0.23,0.5,2021,Monaco
37,2021-04-25,17:05,Ligue 1,Journée 34,Dim,Extérieur,V,1,0,Angers,1.3,0.1,59.0,,Axel Disasi,4-4-2,Hakim Ben El Hadj Salem,Rapport de match,,19.2,1.0,0.0,0.0,1.0,10.0,3.0,30.0,0.1,0.33,2021,Monaco
38,2021-05-02,21:00,Ligue 1,Journée 35,Dim,Domicile,D,2,3,Lyon,2.5,1.8,48.0,,Wissam Ben Yedder,4-2-3-1,Clément Turpin,Rapport de match,,17.2,0.0,1.0,1.0,2.0,11.0,3.0,27.3,0.09,0.33,2021,Monaco
39,2021-05-09,17:05,Ligue 1,Journée 36,Dim,Extérieur,V,1,0,Reims,1.1,0.3,60.0,,Wissam Ben Yedder,3-4-3,Antony Gautier,Rapport de match,,19.1,0.0,0.0,0.0,1.0,7.0,2.0,28.6,0.14,0.5,2021,Monaco
41,2021-05-16,21:00,Ligue 1,Journée 37,Dim,Domicile,V,2,1,Rennes,1.0,0.5,41.0,,Wissam Ben Yedder,4-4-2,Benoît Bastien,Rapport de match,,16.4,0.0,0.0,0.0,2.0,11.0,3.0,27.3,0.18,0.67,2021,Monaco
43,2021-05-23,21:00,Ligue 1,Journée 38,Dim,Extérieur,N,0,0,Lens,1.8,0.5,65.0,,Wissam Ben Yedder,3-4-3,Jérémie Pignard,Rapport de match,,18.2,1.0,0.0,0.0,0.0,19.0,2.0,10.5,0.0,0.0,2021,Monaco
0,2020-08-28,21:00,Ligue 1,Journée 2,Ven,Domicile,V,4,1,Dijon,4.8,0.4,63.0,,Memphis Depay,3-4-1-2,Benoît Millot,Rapport de match,,15.2,0.0,2.0,2.0,3.0,25.0,9.0,36.0,0.04,0.11,2021,Lyon
1,2020-09-11,21:00,Ligue 1,Journée 3,Ven,Extérieur,N,0,0,Bordeaux,2.2,0.2,54.0,,Memphis Depay,3-4-3,Ruddy Buquet,Rapport de match,,17.7,3.0,0.0,0.0,0.0,20.0,2.0,10.0,0.0,0.0,2021,Lyon
2,2020-09-15,21:00,Ligue 1,Journée 1,Mar,Extérieur,D,1,2,Montpellier,1.6,1.6,56.0,,Houssem Aouar,3-4-1-2,François Letexier,Rapport de match,,17.4,1.0,1.0,1.0,1.0,18.0,6.0,33.3,0.0,0.0,2021,Lyon
3,2020-09-18,21:00,Ligue 1,Journée 4,Ven,Domicile,N,0,0,Nîmes,1.3,0.5,72.0,4385.0,Memphis Depay,4-4-2,Amaury Delerue,Rapport de match,,16.9,0.0,0.0,0.0,0.0,13.0,3.0,23.1,0.0,0.0,2021,Lyon
4,2020-09-27,17:00,Ligue 1,Journée 5,Dim,Extérieur,N,1,1,Lorient,0.8,0.2,68.0,,Marcelo,3-4-1-2,Clément Turpin,Rapport de match,,21.0,1.0,0.0,0.0,1.0,19.0,6.0,31.6,0.05,0.17,2021,Lyon
5,2020-10-04,21:00,Ligue 1,Journée 6,Dim,Domicile,N,1,1,Marseille,3.2,0.2,67.0,,Leo Dubois,4-2-3-1,Stéphanie Frappart,Rapport de match,,14.7,0.0,1.0,1.0,1.0,23.0,2.0,8.7,0.0,0.0,2021,Lyon
6,2020-10-18,13:00,Ligue 1,Journée 7,Dim,Extérieur,V,3,2,Strasbourg,3.9,2.1,48.0,,Memphis Depay,4-3-3,Ruddy Buquet,Rapport de match,,12.1,1.0,0.0,0.0,3.0,14.0,6.0,42.9,0.21,0.5,2021,Lyon
7,2020-10-25,21:00,Ligue 1,Journée 8,Dim,Domicile,V,4,1,Monaco,3.2,1.9,35.0,,Memphis Depay,4-4-1-1,Jérôme Brisard,Rapport de match,,22.7,2.0,1.0,1.0,4.0,14.0,5.0,35.7,0.21,0.6,2021,Lyon
8,2020-11-01,21:00,Ligue 1,Journée 9,Dim,Extérieur,N,1,1,Lille,0.8,0.5,40.0,,Memphis Depay,4-3-3,Mikael Lesage,Rapport de match,,16.8,0.0,0.0,0.0,0.0,8.0,1.0,12.5,0.0,0.0,2021,Lyon
9,2020-11-08,21:00,Ligue 1,Journée 10,Dim,Domicile,V,2,1,Saint-Étienne,2.5,1.7,60.0,,Memphis Depay,4-3-3,François Letexier,Rapport de match,,15.9,2.0,0.0,0.0,2.0,18.0,6.0,33.3,0.11,0.33,2021,Lyon
10,2020-11-22,17:00,Ligue 1,Journée 11,Dim,Extérieur,V,1,0,Angers,1.0,0.9,50.0,,Memphis Depay,4-3-3,Amaury Delerue,Rapport de match,,9.4,0.0,0.0,0.0,1.0,5.0,2.0,40.0,0.2,0.5,2021,Lyon
11,2020-11-29,13:00,Ligue 1,Journée 12,Dim,Domicile,V,3,0,Reims,2.6,0.4,64.0,,Memphis Depay,4-3-3,Jérôme Miguelgorry,Rapport de match,,16.7,3.0,0.0,0.0,3.0,16.0,4.0,25.0,0.19,0.75,2021,Lyon
12,2020-12-06,21:00,Ligue 1,Journée 13,Dim,Extérieur,V,3,1,Metz,2.0,1.5,53.0,,Memphis Depay,4-3-3,Karim Abed,Rapport de match,,14.5,0.0,0.0,0.0,3.0,18.0,5.0,27.8,0.17,0.6,2021,Lyon
13,2020-12-13,21:00,Ligue 1,Journée 14,Dim,Extérieur,V,1,0,Paris S-G,0.9,0.3,38.0,,Memphis Depay,4-3-3,Benoît Bastien,Rapport de match,,19.5,0.0,0.0,0.0,1.0,9.0,5.0,55.6,0.11,0.2,2021,Lyon
14,2020-12-16,21:00,Ligue 1,Journée 15,Mer,Domicile,N,2,2,Brest,3.5,1.5,56.0,,Marcelo,4-3-3,Jérôme Brisard,Rapport de match,,17.5,0.0,1.0,1.0,2.0,27.0,10.0,37.0,0.04,0.1,2021,Lyon
15,2020-12-19,21:00,Ligue 1,Journée 16,Sam,Extérieur,V,4,1,Nice,3.5,0.9,45.0,,Memphis Depay,4-3-3,Antony Gautier,Rapport de match,,18.5,1.0,1.0,1.0,4.0,12.0,8.0,66.7,0.25,0.38,2021,Lyon
16,2020-12-23,21:00,Ligue 1,Journée 17,Mer,Domicile,V,3,0,Nantes,3.6,2.0,65.0,,Memphis Depay,4-3-3,Ruddy Buquet,Rapport de match,,14.3,0.0,0.0,0.0,3.0,22.0,11.0,50.0,0.14,0.27,2021,Lyon
17,2021-01-06,21:00,Ligue 1,Journée 18,Mer,Domicile,V,3,2,Lens,2.4,0.7,50.0,,Memphis Depay,4-3-3,Eric Wattellier,Rapport de match,,19.3,1.0,1.0,1.0,2.0,11.0,5.0,45.5,0.09,0.2,2021,Lyon
18,2021-01-09,21:00,Ligue 1,Journée 19,Sam,Extérieur,N,2,2,Rennes,1.1,1.4,46.0,,Memphis Depay,4-3-3,Mikael Lesage,Rapport de match,,19.4,0.0,0.0,0.0,2.0,13.0,4.0,30.8,0.15,0.5,2021,Lyon
19,2021-01-17,21:00,Ligue 1,Journée 20,Dim,Domicile,D,0,1,Metz,1.4,1.9,63.0,,Memphis Depay,4-3-3,Stéphanie Frappart,Rapport de match,,15.7,0.0,0.0,0.0,0.0,23.0,6.0,26.1,0.0,0.0,2021,Lyon
20,2021-01-24,21:00,Ligue 1,Journée 21,Dim,Extérieur,V,5,0,Saint-Étienne,1.7,0.5,60.0,,Memphis Depay,4-3-3,Benoît Bastien,Rapport de match,,16.0,0.0,0.0,0.0,4.0,18.0,11.0,61.1,0.22,0.36,2021,Lyon
21,2021-01-29,21:00,Ligue 1,Journée 22,Ven,Domicile,V,2,1,Bordeaux,1.3,1.1,56.0,,Memphis Depay,4-3-3,Clément Turpin,Rapport de match,,18.5,2.0,0.0,0.0,2.0,10.0,4.0,40.0,0.2,0.5,2021,Lyon
22,2021-02-03,21:00,Ligue 1,Journée 23,Mer,Extérieur,V,1,0,Dijon,2.5,1.5,62.0,,Memphis Depay,4-3-3,Johan Hamel,Rapport de match,,13.5,0.0,0.0,0.0,1.0,17.0,9.0,52.9,0.06,0.11,2021,Lyon
23,2021-02-06,19:00,Ligue 1,Journée 24,Sam,Domicile,V,3,0,Strasbourg,1.8,0.3,69.0,,Memphis Depay,4-3-3,Amaury Delerue,Rapport de match,,18.8,2.0,0.0,0.0,3.0,16.0,8.0,50.0,0.19,0.38,2021,Lyon
25,2021-02-13,21:00,Ligue 1,Journée 25,Sam,Domicile,D,1,2,Montpellier,3.3,1.6,55.0,,Memphis Depay,4-3-3,Antony Gautier,Rapport de match,,13.5,0.0,0.0,0.0,1.0,24.0,8.0,33.3,0.04,0.13,2021,Lyon
26,2021-02-19,21:00,Ligue 1,Journée 26,Ven,Extérieur,V,3,2,Brest,3.9,1.8,49.0,,Memphis Depay,4-2-3-1,Franck Schneider,Rapport de match,,14.8,1.0,1.0,1.0,3.0,15.0,6.0,40.0,0.13,0.33,2021,Lyon
27,2021-02-28,21:00,Ligue 1,Journée 27,Dim,Extérieur,N,1,1,Marseille,0.5,1.7,47.0,,Memphis Depay,4-3-3,Benoît Millot,Rapport de match,,21.8,1.0,0.0,0.0,1.0,11.0,1.0,9.1,0.09,1.0,2021,Lyon
28,2021-03-03,19:00,Ligue 1,Journée 28,Mer,Domicile,V,1,0,Rennes,2.2,0.8,47.0,,Memphis Depay,4-3-3,Ruddy Buquet,Rapport de match,,17.0,0.0,0.0,0.0,1.0,15.0,7.0,46.7,0.07,0.14,2021,Lyon
30,2021-03-12,21:00,Ligue 1,Journée 29,Ven,Extérieur,N,1,1,Reims,1.8,0.8,67.0,,Memphis Depay,4-3-3,Jérôme Brisard,Rapport de match,,17.4,0.0,0.0,0.0,1.0,17.0,6.0,35.3,0.06,0.17,2021,Lyon
31,2021-03-21,21:00,Ligue 1,Journée 30,Dim,Domicile,D,2,4,Paris S-G,0.7,2.1,44.0,,Memphis Depay,4-3-3,Clément Turpin,Rapport de match,,16.8,0.0,0.0,0.0,2.0,8.0,7.0,87.5,0.25,0.29,2021,Lyon
32,2021-04-03,21:00,Ligue 1,Journée 31,Sam,Extérieur,N,1,1,Lens,2.2,0.9,60.0,,Memphis Depay,4-3-3,Benoît Millot,Rapport de match,,15.7,0.0,0.0,0.0,1.0,15.0,5.0,33.3,0.07,0.2,2021,Lyon
