,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
14,2021-10-24,20:45,Ligue 1,Journée 11,Dim,Extérieur,N,0,0,Marseille,1.0,1.0,52.0,65121.0,Marquinhos,4-2-3-1,Benoît Bastien,Rapport de match,,11.7,0.0,0.0,0.0,0.0,10.0,4.0,40.0,0.0,0.0,2022,ParisSaintGermain
15,2021-10-29,21:00,Ligue 1,Journée 12,Ven,Domicile,V,2,1,Lille,2.4,2.0,59.0,47874.0,Marquinhos,4-3-3,Amaury Delerue,Rapport de match,,14.2,1.0,0.0,0.0,2.0,17.0,7.0,41.2,0.12,0.29,2022,ParisSaintGermain
17,2021-11-06,21:00,Ligue 1,Journée 13,Sam,Extérieur,V,3,2,Bordeaux,1.6,1.3,56.0,41172.0,Marquinhos,4-3-3,Ruddy Buquet,Rapport de match,,11.9,0.0,0.0,0.0,3.0,9.0,5.0,55.6,0.33,0.6,2022,ParisSaintGermain
18,2021-11-20,17:00,Ligue 1,Journée 14,Sam,Domicile,V,3,1,Nantes,1.7,1.9,66.0,47777.0,Marco Verratti,4-3-3,Jeremy Stinat,Rapport de match,,18.1,1.0,0.0,0.0,2.0,14.0,7.0,50.0,0.14,0.29,2022,ParisSaintGermain
20,2021-11-28,13:00,Ligue 1,Journée 15,Dim,Extérieur,V,3,1,Saint-Étienne,3.2,0.8,71.0,24586.0,Marquinhos,4-2-3-1,Jérôme Brisard,Rapport de match,,13.4,0.0,0.0,0.0,3.0,15.0,8.0,53.3,0.2,0.38,2022,ParisSaintGermain
21,2021-12-01,21:00,Ligue 1,Journée 16,Mer,Domicile,N,0,0,Nice,1.8,0.8,70.0,47502.0,Marquinhos,4-3-3,Clément Turpin,Rapport de match,,19.1,1.0,0.0,0.0,0.0,22.0,5.0,22.7,0.0,0.0,2022,ParisSaintGermain
22,2021-12-04,21:00,Ligue 1,Journée 17,Sam,Extérieur,N,1,1,Lens,1.9,1.2,64.0,36685.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,15.6,1.0,0.0,0.0,1.0,13.0,6.0,46.2,0.08,0.17,2022,ParisSaintGermain
24,2021-12-12,20:45,Ligue 1,Journée 18,Dim,Domicile,V,2,0,Monaco,1.6,0.7,53.0,41154.0,Marquinhos,4-3-3,Benoît Bastien,Rapport de match,,20.0,2.0,1.0,1.0,2.0,8.0,1.0,12.5,0.13,1.0,2022,ParisSaintGermain
26,2021-12-22,21:00,Ligue 1,Journée 19,Mer,Extérieur,N,1,1,Lorient,2.1,1.3,77.0,16603.0,Marquinhos,4-4-2,Jérémie Pignard,Rapport de match,,15.7,0.0,0.0,0.0,1.0,17.0,4.0,23.5,0.06,0.25,2022,ParisSaintGermain
28,2022-01-09,20:45,Ligue 1,Journée 20,Dim,Extérieur,N,1,1,Lyon,1.2,1.0,68.0,4977.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,17.9,1.0,0.0,0.0,1.0,15.0,3.0,20.0,0.07,0.33,2022,ParisSaintGermain
